B1,B4-6,D1,E11a,A1,opinionated,A3
7,6,13,2,4,0,positive
7,11,19,3,4,0,positive
7,11,6,2,4,1,very positive
8,4,6,1,2,0,very positive
8,4,6,2,2,0,not positive
6,12,9,3,4,0,not positive
8,4,9,2,4,1,very positive
7,10,15,2,4,0,very positive
8,7,18,2,4,0,not positive
8,3,6,1,5,1,very positive
8,4,12,2,4,1,not positive
7,5,10,2,4,0,positive
7,4,6,3,2,0,positive
7,8,7,2,2,1,positive
8,10,6,1,4,0,very positive
8,4,6,1,4,0,very positive
7,12,12,1,4,0,not positive
8,4,9,2,2,0,positive
7,13,30,2,1,0,not positive
7,4,6,1,5,0,very positive
8,4,6,2,4,1,very positive
7,5,6,2,4,0,very positive
7,4,12,2,4,0,positive
7,12,7,1,5,0,positive
8,4,8,1,4,1,very positive
7,14,23,3,4,0,not positive
6,4,8,1,4,0,positive
6,11,23,2,4,1,not positive
6,7,12,2,2,0,not positive
7,5,11,2,4,0,positive
6,11,8,2,4,0,positive
7,6,12,2,4,0,positive
7,9,7,4,4,1,very positive
7,4,13,3,4,0,positive
7,13,19,2,2,0,not positive
8,4,6,1,5,1,very positive
6,13,9,2,2,0,positive
7,7,7,1,5,1,very positive
8,3,6,1,4,1,very positive
7,3,17,4,4,0,not positive
8,4,6,1,4,1,very positive
7,5,6,2,4,0,very positive
7,5,9,1,4,1,not positive
7,6,7,2,4,0,positive
5,13,6,2,4,0,very positive
7,8,15,2,2,0,not positive
7,5,6,2,2,0,positive
6,12,18,2,4,0,positive
7,13,8,2,4,1,positive
7,4,14,3,4,0,positive
7,12,6,1,4,1,very positive
7,11,9,2,4,0,not positive
8,4,9,1,4,0,positive
8,4,17,2,4,1,not positive
8,4,6,1,4,0,positive
6,12,14,3,4,0,positive
7,4,8,1,4,1,very positive
8,4,6,1,2,1,very positive
8,12,8,2,2,0,not positive
8,4,8,1,5,1,very positive
7,7,10,1,2,0,very positive
6,9,17,4,4,0,very positive
7,8,14,1,2,1,not positive
7,13,12,2,4,0,very positive
6,12,17,2,5,1,very positive
7,8,7,1,2,1,very positive
7,8,15,2,4,1,very positive
6,4,8,1,4,0,very positive
7,13,8,1,4,0,positive
7,9,13,2,4,0,positive
8,7,9,2,4,1,positive
7,4,14,2,4,0,not positive
8,5,6,1,4,0,very positive
7,4,11,2,2,0,positive
7,6,13,1,4,0,positive
7,4,12,2,4,0,positive
7,4,10,1,2,1,very positive
7,7,30,4,2,0,not positive
8,9,8,2,4,0,very positive
7,6,19,3,4,0,not positive
7,4,17,1,4,0,very positive
7,12,11,2,4,0,not positive
7,4,6,1,4,0,very positive
6,10,25,3,1,1,not positive
8,12,6,1,4,1,very positive
8,4,6,3,2,0,not positive
8,5,12,1,5,0,very positive
6,12,9,2,4,0,positive
8,6,6,1,4,0,very positive
6,9,8,1,4,1,very positive
8,12,8,2,4,0,very positive
7,9,13,2,4,0,positive
8,4,8,2,4,1,very positive
6,4,12,1,4,1,very positive
8,4,9,2,4,0,not positive
7,11,8,3,2,0,not positive
8,10,24,3,4,0,positive
7,4,10,1,4,1,positive
8,4,6,3,2,0,very positive
7,5,23,4,2,1,not positive
8,4,10,1,4,1,very positive
7,11,7,3,5,0,very positive
7,8,8,2,4,0,very positive
6,13,15,2,2,1,not positive
8,3,6,2,4,1,very positive
7,12,14,3,1,0,positive
7,7,9,1,4,0,positive
6,5,22,3,2,0,not positive
6,6,11,2,4,1,very positive
8,3,6,1,4,1,very positive
7,4,6,2,4,0,positive
7,12,8,2,4,0,very positive
7,12,6,1,5,1,very positive
8,8,11,1,4,0,positive
7,5,10,2,2,0,not positive
7,5,14,2,4,0,positive
8,5,19,2,4,1,not positive
7,9,8,2,4,1,positive
8,7,6,3,5,1,very positive
7,12,10,2,4,0,not positive
7,11,6,1,4,0,very positive
8,8,8,2,4,0,positive
7,13,12,2,4,0,positive
6,5,19,2,4,0,not positive
7,12,12,1,4,1,very positive
7,12,8,1,2,0,positive
7,13,10,1,4,0,positive
6,12,10,2,4,0,not positive
7,4,26,2,1,1,not positive
8,4,6,2,4,0,very positive
7,11,12,2,4,0,not positive
8,4,18,2,4,0,very positive
8,11,6,1,4,0,positive
7,8,7,2,2,1,not positive
7,9,14,1,2,1,not positive
6,10,16,4,2,0,not positive
5,5,20,1,4,0,positive
8,12,12,2,4,1,very positive
7,13,9,1,5,1,positive
7,13,8,1,2,1,very positive
8,13,12,2,4,1,very positive
8,4,8,1,4,0,positive
8,4,6,1,4,1,very positive
7,5,8,2,4,1,very positive
6,12,17,2,2,0,positive
7,10,8,1,2,1,very positive
5,13,18,2,4,0,not positive
6,6,13,3,4,0,positive
8,4,6,1,5,0,very positive
7,9,20,3,4,0,not positive
8,5,6,1,4,1,very positive
7,7,18,4,4,0,not positive
6,4,8,3,5,1,very positive
6,13,23,1,2,0,not positive
7,4,10,3,2,1,very positive
6,6,7,1,4,0,very positive
7,7,11,1,5,0,positive
7,11,13,2,4,1,positive
6,12,7,1,4,0,not positive
7,4,8,2,4,0,very positive
8,5,8,1,4,0,very positive
7,13,11,1,2,0,positive
7,4,22,1,2,0,not positive
8,11,12,2,2,0,not positive
7,4,11,2,2,0,not positive
7,5,11,1,4,0,positive
7,4,6,2,4,0,very positive
7,4,6,2,4,1,very positive
7,10,24,2,2,0,not positive
7,5,11,1,4,1,very positive
7,11,17,3,4,0,very positive
6,14,15,4,2,0,positive
7,12,14,1,4,1,not positive
7,12,10,2,2,0,positive
8,10,13,3,4,0,positive
8,4,6,2,4,0,very positive
7,5,10,2,5,1,positive
7,5,12,1,4,0,positive
6,5,12,2,4,0,positive
8,8,8,1,5,1,very positive
7,4,17,2,4,0,positive
8,5,6,3,5,1,very positive
7,4,11,2,2,0,not positive
7,5,10,1,4,0,very positive
8,4,8,2,4,0,positive
8,4,8,1,4,0,very positive
7,9,11,2,4,0,not positive
7,13,9,2,4,0,positive
8,6,6,1,5,1,very positive
7,12,8,2,4,1,positive
8,4,11,2,4,0,positive
6,6,7,2,4,1,very positive
8,8,10,2,4,0,not positive
